x,y,z
0.003,-0.0015,-0.0062
0.0109,0.0071,0.0082
0.0047,0.0108,0.0141
-0.0009,0.0064,0.0064
-0.0062,0.0169,0.012
-0.002,-0.0273,-0.0144
0.0073,0.0013,-0.0069
0.0129,-0.0038,0.0029
0.0087,-0.0036,0.002
0.0118,-0.0219,-0.0072
0.013000000000000001,-0.0153,-0.0137
0.0106,-0.0071,-0.0089
0.0114,-0.0017,0.0058
0.0166,-0.0058,-0.0029
0.0187,-0.012,-0.0106
0.0035,-0.0064,-0.0069
0.0098,-0.0106,-0.0217
0.0131,-0.02,-0.0249
-0.0004,0.0011,0.0242
-0.004,0.0012,0.0042
-0.0036,0.0001,0.0039
-0.0024,-0.0017,0.0049
0.0014,-0.0007,0.0035
0.0025,-0.001,0.0064
0.0021,-0.0013,0.0042
-0.0057,0.0001,0.0026
-0.001,0.0021,0.0042
-0.0021,0.0051,0.0066
0.0002,-0.0012,0.0021
0.0055,-0.0004,0.0049
0.0061,0.0003,0.0083
-0.0007,-0.0001,0.0019
-0.0087,-0.0004,0.0036
-0.0064,-0.0002,0.009000000000000001
0.0,0.0024,0.0046
0.0026,0.0043,0.0099
0.0024,0.0032,0.0057
0.0011,-0.0038,0.0001
0.002,-0.0052,-0.0001
-0.0023,-0.0011,0.0048
-0.0037,0.0032,0.0076
-0.0044,0.0057,0.0049
0.0021,0.0011,0.0058
0.0038,-0.0017,0.0062
-0.0012,-0.0007,0.0031
-0.0032,0.0013,0.0054
-0.0019,0.0016,0.0027
0.0019,-0.0025,0.0032
0.0018,-0.002,0.0009
-0.0014,-0.0033,0.0041
0.0012,-0.0036,0.0046
0.0024,0.0031,0.0055
0.0004,0.0063,0.0094
-0.0027,0.0061,0.0061
0.0003,0.001,0.0076
0.0049,-0.0025,0.0061
0.0045,-0.006,-0.0041
-0.0006,-0.0091,-0.0096
-0.0013,-0.0128,-0.0114
0.0092,-0.0103,-0.0074
0.008,-0.0066,-0.0106
0.0048,-0.0084,-0.0069
0.0076,-0.0143,-0.0128
0.0198,-0.0087,-0.0128
0.0254,-0.0091,-0.012
0.0208,-0.0098,-0.0204
0.0246,-0.0113,-0.0209
